regulator	NES_TCGA	NES_MTBRC	pval_TCGA	pval_MTBRC	NES_meta	pval_meta	FDR_meta
AKAP8L	0.209749790909751	-0.377507961022498	0.833862962293991	0.705796149265556	-0.11862293968617	0.905574090430696	0.944523513675027
ELF2	-0.763747153673181	0.585262082959658	0.445017934765758	0.558371506040517	-0.126208003842093	0.89956727587978	0.944523513675027
E2F3	0.648754205282321	-0.832514340247837	0.51649726182613	0.405118687241768	-0.129938037545872	0.896615449775274	0.944523513675027
MSANTD3	0.0752704960874874	-0.269658998932244	0.939999495581977	0.787422606432559	-0.137453428546228	0.890672401896398	0.944523513675027
SON	-0.818749083161486	0.619102853517609	0.412929586410196	0.535848603623643	-0.141171202819512	0.887734695035969	0.944523513675027
GTF2B	-0.417168303513305	0.212667902199114	0.676555307592305	0.831586004369935	-0.144603620524635	0.885023838517457	0.944523513675027
ZNF446	0.339175405107402	-0.553441357141317	0.734477596156587	0.579961226056029	-0.151508907660573	0.879574284655047	0.944523513675027
TCF3	0.176212685962941	-0.406210734650248	0.860126854775995	0.684587767335287	-0.162633179886469	0.870807261007235	0.944523513675027
ZNF346	0.681183809490444	-0.944342866258546	0.495755191322563	0.344994467358706	-0.18608155357138	0.852380807385548	0.944523513675027
ZBTB49	-0.177077308918123	-0.139763515148519	0.859447665115675	0.888846840984059	-0.224040295254257	0.822725948983564	0.944523513675027
NFE2L2	-0.415146752090076	0.079106958787524	0.678034476247551	0.936947548549919	-0.23761601659276	0.812178926824664	0.944523513675027
ZNF821	-0.466297955843407	0.121624510159903	0.641002241741883	0.903196401292488	-0.243720930737739	0.807446961720384	0.944523513675027
REXO4	0.424696842460651	-0.779371900875626	0.671057685891049	0.435760671187512	-0.250793138922964	0.801974046437286	0.944523513675027
GATAD2A	0.38273245453367	-0.740866738153471	0.701918148145314	0.458774244882499	-0.253239180522948	0.800083391331213	0.944523513675027
SAFB	0.650081900103285	-1.04701893602922	0.515639320080679	0.295090844739627	-0.280676869807314	0.778958251100912	0.944523513675027
ZNF653	0.253772549719477	-0.675888578994637	0.799671281503794	0.499111389513109	-0.298481106748004	0.765335993937861	0.944523513675027
ZNF668	1.0128856230285	-1.63994356904469	0.31111479631889	0.101016900739003	-0.443396925824959	0.657478659096881	0.944523513675027
ZNF384	-0.591717860929219	-0.14235082296738	0.554039534204586	0.88680290430191	-0.519064944239969	0.603715453329924	0.944523513675027
IRF3	0.502884296377899	-1.2392854248919	0.615045622512463	0.215239814412293	-0.520714231645678	0.602565858806213	0.944523513675027
LCOR	-0.76107292189387	-0.0347570180199588	0.446613512910136	0.972273494556902	-0.562736747184351	0.573614157532997	0.944523513675027
KMT2B	0.0645353442685025	-0.888788253006491	0.948543965099078	0.374116890260184	-0.582834821181368	0.560004501396629	0.944523513675027
PURA	-0.473856630423309	-0.361241652520102	0.63560214797977	0.717918807205703	-0.590503658826528	0.554853033513075	0.944523513675027
POU2F1	-0.370736060920458	-0.481788266123688	0.710834128605228	0.629956365739286	-0.602825732779414	0.546624626166924	0.944523513675027
MECP2	-0.156634694715033	-0.746687952660401	0.87553275760403	0.455251943545594	-0.638745569558554	0.522988462628816	0.944523513675027
SNAPC4	0.404040612984373	-1.45672644758951	0.686182854384005	0.145191906195641	-0.744361292108313	0.456657929868859	0.932009681099241
ZNF148	-0.555107343680546	-0.511530171616716	0.578821240031104	0.608979867016911	-0.754226620134663	0.450713155697986	0.932009681099241
TCF20	-0.434139873943782	-0.684643783483285	0.664186871693428	0.493568731258378	-0.791099510847367	0.428885924607934	0.932009681099241
HINFP	-0.121467794630084	-1.04520454814889	0.903320521953187	0.295928441846621	-0.824961925001806	0.409393207471036	0.923514909876523
SAFB2	0.244832388577392	-1.60609200533697	0.806586214513378	0.10825369620027	-0.962555905966096	0.335770434645711	0.904714782239833
CXXC1	0.221416697858393	-1.5996558824488	0.824767992052462	0.109674944029321	-0.974562273520892	0.329777435019889	0.904714782239833
ZNF641	-0.569178300645717	-0.874628189151008	0.569235145023426	0.381776244612327	-1.02092535965641	0.307289803174535	0.904714782239833
ZNF142	-0.694369197696645	-0.910447701450961	0.48745070546968	0.362586450842824	-1.13477691195004	0.256468802282223	0.904714782239833
GMEB1	-0.646776835016917	-1.33181253136748	0.517776386865752	0.182921799060933	-1.399073958154	0.161790806061963	0.713350372182293
ZNF581	-0.758730612719175	-1.27927026939017	0.448013720455541	0.200801898287644	-1.44108424380369	0.149560884291928	0.713350372182293
NFKB1	-0.86275686533914	-1.30012642702337	0.388271159731001	0.193557641490015	-1.52938944294461	0.126167928017731	0.644120474616838
ZBTB48	0.0559630298561324	-2.26165925807505	0.95537125888381	0.0237184637583556	-1.55966276021118	0.118839596837667	0.644120474616838
MTF1	-0.896903641590352	-1.34324681288728	0.369770336759272	0.179192068007898	-1.58402557723926	0.113187898730862	0.644120474616838
SPEN	-0.85902867993793	-1.70539918361979	0.390324693178071	0.0881200005054618	-1.81332433218539	0.0697818125502454	0.624580356828836
