gene	log2FoldChange	lfcSE	stat	pvalue	padj	is_kbhb
DNAJA3	0.713571977446568	0.0571280916007691	12.4907371741604	8.38728758001469e-36	3.95627225952741e-35	TRUE
UTP14A	0.704597087915159	0.0564282105046264	12.4866105377804	8.83375090046242e-36	4.16448256736086e-35	TRUE
SERBP1	0.67315952911407	0.0539304869926365	12.4819849894176	9.36231265576494e-36	4.4098742134577e-35	TRUE
LIG3	0.814945530886248	0.0653621971785744	12.4681477377475	1.11385085947523e-35	5.23751630581912e-35	TRUE
WDR43	0.729719032028057	0.0587309209158648	12.4247844346493	1.91742574940816e-35	8.96995733395003e-35	TRUE
GPI	1.10009875314888	0.0888899951586396	12.3759569475233	3.52665713265102e-35	1.6335713924997e-34	TRUE
DHX9	0.525748553558891	0.0425403397777855	12.358823561476	4.36497963734017e-35	2.01508605797815e-34	TRUE
PDLIM1	-1.1386133716899	0.0921941875124449	-12.3501643911792	4.86119934884933e-35	2.24165134913195e-34	TRUE
NCBP2	0.674072461429316	0.054618382198417	12.3414944620761	5.41415046331124e-35	2.4945387711065e-34	TRUE
C1QBP	0.874007432081254	0.0710855160431577	12.2951549166587	9.61722121133708e-35	4.39419483038534e-34	TRUE
WDR74	0.846099469417627	0.0688780202715782	12.2840271262378	1.10364696758726e-34	5.03428105685858e-34	TRUE
BRD4	0.703578205991264	0.0574207940702424	12.2530211813264	1.61851985966739e-34	7.35435058751185e-34	TRUE
TXNDC9	0.640146697936811	0.052284432288025	12.2435430571449	1.81914506850308e-34	8.25003080226943e-34	TRUE
KIN	0.744496293901905	0.0610539720237491	12.1940681207818	3.34306434226286e-34	1.50492729699405e-33	TRUE
NCBP1	0.679772861496323	0.0557524552339534	12.1926982164965	3.39975206633692e-34	1.53002780203252e-33	TRUE
NEXN	-1.28950039592876	0.105896904577543	-12.1769413475587	4.12461800584317e-34	1.85320831383955e-33	TRUE
TCF20	0.817124581633846	0.0671958905443849	12.1603356249012	5.05505757037272e-34	2.26507844928782e-33	TRUE
METTL1	0.837433672266938	0.0688906805732319	12.1559790859771	5.33191444960684e-34	2.38783343055958e-33	TRUE
ZNF787	1.17625613923186	0.0967651495728217	12.1557827836214	5.34473798540961e-34	2.3929255140223e-33	TRUE
CHD7	1.18454812392342	0.0975399041835991	12.1442412091543	6.1550954037317e-34	2.75050084160787e-33	TRUE
PHF6	0.855484736937534	0.0705124462035925	12.1323933999889	7.11393810301681e-34	3.17380706427466e-33	TRUE
SNRNP40	0.62271361335911	0.051326829830226	12.1323217393099	7.12016724530731e-34	3.17572573208222e-33	TRUE
KIAA1143	-0.610774444371748	0.0506477992141648	-12.0592494412063	1.73355503422301e-33	7.66965361325908e-33	TRUE
CHMP1A	0.830555558784815	0.0689414304193519	12.0472632165125	2.00496873933715e-33	8.85617495457746e-33	TRUE
BTF3	-0.740241277936215	0.0614849011232925	-12.0393993389019	2.20555683414339e-33	9.72133415092055e-33	TRUE
FAM126A	-1.06964719785093	0.0888925215748789	-12.0330392129771	2.38226863121459e-33	1.04946007357439e-32	TRUE
DOT1L	0.825560433373782	0.0686098719165593	12.0326770814818	2.39274300853723e-33	1.05379243438306e-32	TRUE
SUCLG2	-0.724025543971533	0.0602413681671807	-12.0187433652275	2.83246231255769e-33	1.24445455978889e-32	TRUE
SF3A3	0.64268212691631	0.0536257141776989	11.9845886767431	4.27963272714765e-33	1.87327783407603e-32	TRUE
UBE2M	0.903794637501608	0.0754330861616391	11.9814087357495	4.44702005219259e-33	1.94551219977299e-32	TRUE
UTP18	0.684188029555839	0.0571239757190732	11.9772480984266	4.67588523377548e-33	2.0440085517542e-32	TRUE
NOL7	0.708288439503633	0.0592269901589238	11.9588795176504	5.83438538467192e-33	2.54098979448274e-32	TRUE
ENSA	0.736856566752945	0.0616995433602179	11.9426583508242	7.09197102431879e-33	3.08298539750416e-32	TRUE
GOLGA8H	-1.62118542001762	0.135764726125575	-11.9411386615852	7.22275752690669e-33	3.13818332969848e-32	TRUE
EML4	0.799042614207117	0.0669179655058646	11.9406292191757	7.26713469665227e-33	3.15663168160836e-32	TRUE
BAZ1A	0.715497491887365	0.0601053493497774	11.9040567874183	1.12730734475612e-32	4.87483457092936e-32	TRUE
CCT4	0.675318048614411	0.0569357258647478	11.8610597890443	1.88573038650978e-32	8.09497452415445e-32	TRUE
THOP1	1.13198680284268	0.0957309937962195	11.8246636533651	2.9106619774054e-32	1.24170649694131e-31	TRUE
CPNE1	1.0029694599096	0.0850396185503187	11.794143447576	4.18436335024613e-32	1.77404508981728e-31	TRUE
NUP50	0.625696805322826	0.053181837452196	11.7652348113254	5.89620700037352e-32	2.49019852975509e-31	TRUE
SLC4A1AP	0.560336290087479	0.0476527887535114	11.7587302809469	6.36847940085999e-32	2.68621286613631e-31	TRUE
MORF4L2	0.566883247378066	0.0482118323822339	11.7581767663111	6.41036121308305e-32	2.70314545844683e-31	TRUE
ZC3H18	0.697570717239109	0.0593622005628556	11.7510926250196	6.97115804591099e-32	2.93741196371587e-31	TRUE
DHX37	0.867654594089972	0.0738919456327379	11.7422079857315	7.74379500755811e-32	3.25714105720203e-31	TRUE
ZC3H15	0.595644412872647	0.0508251824832316	11.7194741616356	1.01298804487396e-31	4.25098729228836e-31	TRUE
UBA1	0.753127204679334	0.0642888101556056	11.7147479142397	1.07109348908389e-31	4.48910574821696e-31	TRUE
BAG2	1.42744363118517	0.122093509824974	11.6913964815285	1.41048099947256e-31	5.89352718049092e-31	TRUE
GTF3C5	0.952656288302325	0.0815831469584802	11.6771211189874	1.66851214010704e-31	6.95403427262533e-31	TRUE
BMS1	0.595296070420608	0.0510518254108574	11.6606226247496	2.02555746974476e-31	8.41444370693413e-31	TRUE
PTBP3	0.867222241784717	0.0744376619404818	11.6503154341162	2.28611039400343e-31	9.48007551197546e-31	TRUE
FKBP4	1.09741180724202	0.0945413177893834	11.6077481560687	3.76397765593065e-31	1.55031065683367e-30	TRUE
ARMC1	0.747538174367027	0.0647274138928395	11.5490196411157	7.466727720911e-31	3.0479574957918e-30	TRUE
TDP1	0.625574299449913	0.0541711867569115	11.5481003260483	7.54701458049688e-31	3.07920438793464e-30	TRUE
C16orf87	0.68566875563613	0.0593874540340755	11.5456836260855	7.76218374646101e-31	3.16464173688966e-30	TRUE
NOL6	0.617668098170368	0.053516626635362	11.5416112151253	8.13862998038522e-31	3.31483601006686e-30	TRUE
BAZ1B	0.635655546511154	0.0552193274175719	11.511468470166	1.15494812544019e-30	4.68552125686713e-30	TRUE
MDC1	0.790469924729582	0.0686894374649693	11.507881763229	1.20399398431538e-30	4.87848645170309e-30	TRUE
PHF20L1	0.801014757515841	0.0696512894716851	11.5003579056705	1.31369554729699e-30	5.31383556309002e-30	TRUE
SEC61B	0.765573939719354	0.0666702290264398	11.4829954973718	1.60617597764823e-30	6.47622424680054e-30	TRUE
PAN2	-0.940854021871908	0.0819864329658227	-11.4757282130339	1.74700655325187e-30	7.0371714560662e-30	TRUE
C19orf53	1.03597793130165	0.0906568650625983	11.4274625599099	3.04888306353519e-30	1.21681913250688e-29	TRUE
HEATR1	0.915158038420284	0.0801554871769366	11.4172849626645	3.42775488626906e-30	1.36505053717515e-29	TRUE
MAPRE1	0.562240558199806	0.0492994226502687	11.4046073559188	3.96562528015274e-30	1.57619964972907e-29	TRUE
SENP3	0.687310826193352	0.0603384141939097	11.3909328804125	4.63995201050083e-30	1.83978063464766e-29	TRUE
DDX17	-0.63232867517197	0.0557494587627791	-11.3423285033601	8.09611505793552e-30	3.19249824375058e-29	TRUE
ANXA1	-1.34349290008275	0.118602001993751	-11.3277421754949	9.5638312799892e-30	3.76404420859422e-29	TRUE
DTD1	0.9906769628602	0.0876430280737733	11.3035455829561	1.2602492329903e-29	4.9434311861961e-29	TRUE
PHLDB2	-1.57190943602353	0.139766328715532	-11.2466961854801	2.40430046400055e-29	9.37079662501705e-29	TRUE
FER	-1.03109330832808	0.0916889858594423	-11.2455525455231	2.43566703413739e-29	9.49080195247052e-29	TRUE
MDH2	0.837043804881987	0.0744937958910904	11.2364230452928	2.70106203953265e-29	1.05075333345108e-28	TRUE
LSM12	0.6204954852515	0.0554456413228087	11.1910597559676	4.51010598227658e-29	1.74501680474973e-28	TRUE
TRIM28	0.82179545497888	0.0734662308723366	11.1860298972861	4.77331052737318e-29	1.84468679779991e-28	TRUE
NCAPH2	0.946150722910526	0.0845982932595783	11.1840403210901	4.8815789204679e-29	1.88520075242366e-28	TRUE
HNRNPF	0.629875700132834	0.0565933389524759	11.1298557708668	8.97806555048338e-29	3.43818152139093e-28	TRUE
AATF	0.667889685886394	0.0600212172242224	11.127559832573	9.21228916129035e-29	3.5254186757836e-28	TRUE
YAP1	-0.805099613443192	0.0723981448862323	-11.120445347161	9.97727038578287e-29	3.81373517740684e-28	TRUE
SYNCRIP	0.628098687357734	0.0565408633480916	11.1087565729386	1.13732134107133e-28	4.33826048724149e-28	TRUE
PRPF4	0.611957939147253	0.0554312754350027	11.0399397153475	2.4519761566098e-28	9.28626756460293e-28	TRUE
EIF5B	0.739316784180889	0.066981263572939	11.0376655312842	2.51482025000468e-28	9.51989541536253e-28	TRUE
CCT2	0.693639586608333	0.0628762211405707	11.0318268818602	2.68357565637616e-28	1.01400735047146e-27	TRUE
SNRPB2	0.852332346101832	0.0772722479417477	11.0302517243237	2.73099569829848e-28	1.03145197623581e-27	TRUE
LSM14A	0.641830748954912	0.0583439609980911	11.0008086179804	3.78720479089063e-28	1.42383336282182e-27	TRUE
EED	0.606033322505012	0.0550904383194315	11.0006988688498	3.79181716031829e-28	1.42524202645427e-27	TRUE
MED27	0.598716651584814	0.0545004118062811	10.9855436269532	4.48530036434268e-28	1.68244740545856e-27	TRUE
PSMD3	0.879257688845443	0.0804749565658239	10.925854779757	8.67200061445037e-28	3.22716009306563e-27	TRUE
TRMT1	0.922109943392987	0.0845345554331672	10.9080829569395	1.05456728795135e-27	3.91380652032788e-27	TRUE
VCP	0.568643189249376	0.0521694036934202	10.8999365335106	1.15337709572719e-27	4.27377602055348e-27	TRUE
PPP1R14A	-1.79562792727582	0.165261805401719	-10.865353448796	1.68569167536965e-27	6.21825376754301e-27	TRUE
DDX41	0.729246222011952	0.0671806310008038	10.8550070332508	1.8879226355352e-27	6.95334870037086e-27	TRUE
CNP	0.69534905759912	0.0640802848693105	10.8512167044398	1.96788133323837e-27	7.23525682168114e-27	TRUE
ACSF2	-1.04663290945442	0.0967210936619248	-10.8211442801999	2.73343082027774e-27	1.00047577945129e-26	TRUE
