Cluster	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
HMGA1	GO:0032212	positive regulation of telomere maintenance via telomerase	8/499	23/13095	0.347826086956522	9.12782085910952	7.76492269749064	1.24308765917489e-06	0.000190801065598844	0.000182678225191636	HSP90AA1/PTGES3/CCT2/CCT7/CCT5/CCT4/CCT3/DKC1	8
HMGA1	GO:1904867	protein localization to Cajal body	6/499	12/13095	0.5	13.1212424849699	8.36092267268628	2.25767161508621e-06	0.000264599113288104	0.000253334520177043	CCT2/CCT7/CCT5/CCT4/CCT3/DKC1	6
HMGA1	GO:1904872	regulation of telomerase RNA localization to Cajal body	6/499	12/13095	0.5	13.1212424849699	8.36092267268628	2.25767161508621e-06	0.000264599113288104	0.000253334520177043	CCT2/CCT7/CCT5/CCT4/CCT3/DKC1	6
HMGA1	GO:0006457	protein folding	22/499	189/13095	0.116402116402116	3.05468079015173	5.66303893348151	3.09218455330672e-06	0.000329458208770498	0.000315432414720093	RIC8A/AHSA1/TRAP1/HSP90AA1/PTGES3/FKBP4/HSPD1/DNAJA2/DNAJA1/KHSRP/FKBP1C/CALR/CCT2/CCT7/CCT5/CCT4/CCT3/ARL2/ELP6/PPIF/PFDN2/PPIL1	22
HMGA1	GO:0007059	chromosome segregation	34/499	383/13095	0.0887728459530026	2.32962007566046	5.25642078378459	4.04798398014063e-06	0.000406648904976413	0.000389336925368112	RIOK3/SPC25/SRPK1/ARL8A/AURKB/AURKA/BCL7B/TUBG2/MAD2L1/CDC20/CDCA8/CCDC86/EHMT2/SLC25A5/RAN/CHMP4C/ANAPC15/KIFC1/KIF22/KMT5A/MAD2L1BP/MYBL2/NTMT1/NUP37/BAG6/DRG1/PLK1/ACTL6A/RMI2/RPS3/RCC1/TUBB/SKA1/NCAPD2	34
HMGA1	GO:0007051	spindle organization	22/499	197/13095	0.111675126903553	2.93063283928263	5.43427648904895	6.11828075272978e-06	0.000597552086849942	0.000572112919509644	SPC25/STMN1/AUNIP/AURKB/AURKA/TUBG2/CDC20/CDCA8/WDR62/RAN/CHMP4C/KIFC1/MYBL2/NTMT1/DRG1/PLK1/RPS3/RCC1/PTPA/TUBB/SKA1/POC1A	22
HMGA1	GO:0006403	RNA localization	21/499	185/13095	0.113513513513514	2.97887667226345	5.3952501700275	7.69229206542983e-06	0.000693489715437213	0.000663966262489733	RTRAF/SNUPN/SRSF3/CPSF6/RAN/SSB/KHSRP/NOP58/NUP37/CCT2/CCT7/CCT5/CCT4/CCT3/DKC1/SMG5/SLBP/YBX1/XPO5/PRPF6/EIF4A3	21
HMGA1	GO:0007094	mitotic spindle assembly checkpoint signaling	9/499	44/13095	0.204545454545455	5.36778101657861	5.7761094629915	3.39556452691384e-05	0.00243649079114879	0.00233276377165853	SPC25/AURKB/MAD2L1/CDC20/CDCA8/ANAPC15/MAD2L1BP/PLK1/SKA1	9
HMGA1	GO:0071174	mitotic spindle checkpoint signaling	9/499	44/13095	0.204545454545455	5.36778101657861	5.7761094629915	3.39556452691384e-05	0.00243649079114879	0.00233276377165853	SPC25/AURKB/MAD2L1/CDC20/CDCA8/ANAPC15/MAD2L1BP/PLK1/SKA1	9
HMGA1	GO:0007339	binding of sperm to zona pellucida	6/499	21/13095	0.285714285714286	7.49785284855425	5.93123858830811	9.88731719396313e-05	0.0049662581791392	0.0047548331407961	VDAC2/CCT2/CCT7/CCT5/CCT4/CCT3	6
HMGA1	GO:0031647	regulation of protein stability	27/499	338/13095	0.0798816568047337	2.09629317807212	4.06425453611814	0.000235267700897457	0.0103400154544432	0.00989981720355352	AHSA1/SYVN1/AURKA/TARDBP/UBL4A/DDOST/HSP90AA1/PTGES3/HSPD1/RAD23A/MAPK3/CALR/CCT2/CCT7/CCT5/CCT4/CCT3/BAG6/APTX/GLMP/KDF1/PLK1/PIM1/RTN4/RPL5/PFDN2/GTPBP4	27
HMGA1	GO:0140694	membraneless organelle assembly	30/499	396/13095	0.0757575757575758	1.98806704317726	3.97392219818422	0.000271115983707004	0.0113481404608789	0.0108650240087093	AURKB/AURKA/C1QBP/CDC20/CDCA8/DDX28/WDR62/EIF5B/SRF/CHMP4C/KIFC1/YTHDF1/MRTO4/MYBL2/ABT1/EIF6/DRG1/NIP7/MTG1/MCAT/PLK1/NOA1/RPF2/RPL5/RPSA/RPS3/RCC1/TUBB/SKA1/RCC1L	30
HMGA1	GO:0006479	protein methylation	7/499	36/13095	0.194444444444444	5.10270541082164	4.90610387066739	0.000356988532764086	0.0134964696903067	0.0129218939194063	SETD3/SMYD2/SNRPD3/EHMT2/KMT5A/NTMT1/EEF2KMT	7
HMGA1	GO:0009060	aerobic respiration	22/499	264/13095	0.0833333333333333	2.18687374749499	3.87745128188495	0.000493895329210037	0.0171934255198266	0.016461461832347	SHMT2/NDUFS2/NDUFV1/NDUFB1/NDUFB3/COX8A/FH/STOML2/SUCLG1/RAN/ATP5F1B/MLST8/MTCH2/MTFR2/ARL2/EIF6/MDH1/MDH2/PPIF/PDHB/SDHC/COX4I1	22
HMGA1	GO:0048285	organelle fission	30/499	416/13095	0.0721153846153846	1.89248689687066	3.68193509246482	0.000617967163473652	0.0201182643219756	0.0192617835164594	SPC25/AURKB/AURKA/TUBG2/MAD2L1/CDC20/CDCA8/CCDC86/EHMT2/PSMD13/TESMIN/RAN/UBB/CHMP4C/ANAPC15/KIFC1/KIF22/KMT5A/MAD2L1BP/MTCH2/MTFR2/MYBL2/CALR/BAG6/DRG1/PLK1/RCC1/SKA1/PGAM5/NCAPD2	30
HMGA1	GO:0032200	telomere organization	16/499	174/13095	0.0919540229885057	2.41310206620137	3.73482457195061	0.00100600612136288	0.028757053030178	0.0275327991109841	AURKB/HSP90AA1/PTGES3/XRCC6/MAPK3/CCT2/CCT7/CCT5/CCT4/CCT3/DKC1/GNL3/FEN1/PCNA/ACTL6A/SMG5	16
HMGA1	GO:1904666	regulation of ubiquitin protein ligase activity	4/499	14/13095	0.285714285714286	7.49785284855425	4.84154008777882	0.00153725648526654	0.0400369911273863	0.038332524287582	MAD2L1/CDC20/PLK1/RPL5	4
CHCHD3	GO:0010833	telomere maintenance via telomere lengthening	18/392	65/13095	0.276923076923077	9.25078492935636	11.7140153790615	3.47525537550785e-13	5.47794071935522e-10	4.89468163763906e-10	POT1/RPA1/SMG5/NAT10/RAD51/DCLRE1B/CCT6A/HSP90AB1/PTGES3/HNRNPU/HNRNPD/HNRNPC/CCT4/CCT2/CCT8/CCT7/DKC1/GAR1	18
CHCHD3	GO:0032543	mitochondrial translation	24/392	127/13095	0.188976377952756	6.31287160533505	10.568679620651	3.8781881198975e-13	5.47794071935522e-10	4.89468163763906e-10	MRPL1/MRPL3/MRPL9/MRPS7/MTIF2/PTCD3/RARS2/MRPL39/MRPL35/MRPL33/MRPL47/MRPL19/MRPL13/MRPL15/MRPL14/MRPL11/MRPS23/MRPS22/MRPS35/MRPS33/MRPS18A/LRPPRC/RPUSD4/GFM1	24
