gene	lfc_tcga	padj_tcga	lfc_mtbrc	padj_mtbrc	sig_tcga	sig_mtbrc	concordant	category
NCAPH2	0.946150722910526	1.88520075242366e-28	0.302677050268063	1.52985943296602e-11	TRUE	FALSE	FALSE	TCGA only
NCBP1	0.679772861496323	1.53002780203252e-33	0.466706730704995	1.5559994062008e-25	TRUE	FALSE	FALSE	TCGA only
NCBP2	0.674072461429316	2.4945387711065e-34	0.668615053232024	2.61593242923198e-37	TRUE	TRUE	TRUE	Concordant up
NCK1	0.302569878932063	1.35479765244817e-05	0.705513941444564	5.94218566365578e-27	FALSE	TRUE	FALSE	METABRIC only
NCK2	0.82388210531932	1.12914379367553e-39	0.656090842628865	1.49753713253634e-32	TRUE	TRUE	TRUE	Concordant up
NCKAP1	0.180477840723339	0.00820922110205334	0.328171953128031	8.45833678650406e-08	FALSE	FALSE	FALSE	Not DE
NCL	0.698572103784055	7.30008614606889e-37	0.333651062073816	3.3740734604344e-12	TRUE	FALSE	FALSE	TCGA only
NCOA6	0.443767838013004	4.51367838149481e-15	0.140971821206963	0.000101217454710401	FALSE	FALSE	FALSE	Not DE
NCOR1	-0.396639060569524	3.27139357400145e-08	-0.0637028343171658	0.116646404960854	FALSE	FALSE	FALSE	Not DE
NCOR2	0.0788192818736664	0.263435789044674	-0.252481057064743	6.16156547169999e-06	FALSE	FALSE	FALSE	Not DE
NDE1	0.96660127841248	1.91611387753519e-52	-0.177554280903091	0.000796316393316148	TRUE	FALSE	FALSE	TCGA only
NDUFAF4	0.565373156450889	1.45052409874e-13	0.696867451523596	1.69950974695445e-28	TRUE	TRUE	TRUE	Concordant up
NDUFV3	0.161981544519043	0.0130940292989857	0.134249723379708	0.000178854582398899	FALSE	FALSE	FALSE	Not DE
NEBL	-0.148361542933125	0.319245991906292	-0.172883166297886	0.0176312347705347	FALSE	FALSE	FALSE	Not DE
NECAP1	0.109004114940648	0.078407337263666	-0.0316601839470104	0.547859549732927	FALSE	FALSE	FALSE	Not DE
NEFL	1.70147206092011	4.95371123806397e-09	NA	NA	TRUE	FALSE	FALSE	TCGA only
NEXN	-1.28950039592876	1.85320831383955e-33	-0.265958360285712	1.8282863791336e-08	TRUE	FALSE	FALSE	TCGA only
NFIA	-0.885633839205547	5.06624469910893e-09	-0.786255361739089	3.66491665010898e-16	TRUE	TRUE	TRUE	Concordant down
NFIC	-0.62680490565158	3.61999568022443e-20	-0.766924894292203	1.03768306200673e-23	TRUE	TRUE	TRUE	Concordant down
NFX1	-0.0405764322359758	0.447408921455306	0.0389992122909074	0.452700494803315	FALSE	FALSE	FALSE	Not DE
NFYA	1.21770271542773	1.1984929504583e-44	0.38330071542543	2.14447945000891e-17	TRUE	FALSE	FALSE	TCGA only
NHLRC2	-0.560219671452587	3.82998102239767e-15	0.221639322483431	2.56387425881238e-11	TRUE	FALSE	FALSE	TCGA only
NIPBL	-0.250281623365041	0.000983468628805497	-0.0909834707242547	0.0160778389930454	FALSE	FALSE	FALSE	Not DE
NIPSNAP3A	-0.0451926068906473	0.557431547713349	0.154694725472585	0.00101451055513676	FALSE	FALSE	FALSE	Not DE
NKAP	-0.0631063046222774	0.194419852852053	0.0964059017656373	0.000582685539918276	FALSE	FALSE	FALSE	Not DE
NKIRAS2	0.53228946020695	2.2791027621814e-25	0.247410963368617	1.69888797551971e-09	TRUE	FALSE	FALSE	TCGA only
NKRF	0.868906871201549	5.34643992414571e-53	0.328115639347778	1.04897576299078e-14	TRUE	FALSE	FALSE	TCGA only
NNT	-0.157156718380776	0.162715544702846	0.23130987072001	9.32650182248812e-08	FALSE	FALSE	FALSE	Not DE
NOC3L	0.236288933184811	0.000242328948787042	0.362067969495685	2.55339929914968e-13	FALSE	FALSE	FALSE	Not DE
NOL11	0.779394771339941	1.2041255221191e-43	0.416477699349576	2.50232134109257e-15	TRUE	FALSE	FALSE	TCGA only
NOL6	0.617668098170368	3.31483601006686e-30	0.195239029229803	0.000191313483278985	TRUE	FALSE	FALSE	TCGA only
NOL7	0.708288439503633	2.54098979448274e-32	0.398963748387667	5.32334519182812e-17	TRUE	FALSE	FALSE	TCGA only
NOL8	0.167868955161447	0.000941314938257749	0.15989084154036	0.000488026617664576	FALSE	FALSE	FALSE	Not DE
NOLC1	0.913081110402223	2.94121771365928e-48	0.592179499539606	9.85774027384975e-27	TRUE	TRUE	TRUE	Concordant up
NONO	0.720258480599841	1.00781896532036e-50	0.223940135943118	2.64739477104184e-08	TRUE	FALSE	FALSE	TCGA only
NOP14	0.258504540921639	1.34857271052976e-06	0.103711596500504	0.0137193965534635	FALSE	FALSE	FALSE	Not DE
NOP2	1.00862235718318	1.20846877784529e-18	0.850799250891871	1.01376551996621e-28	TRUE	TRUE	TRUE	Concordant up
NOP56	1.09174421229344	6.88771274751392e-73	0.494565899732552	3.0270716764095e-14	TRUE	FALSE	FALSE	TCGA only
NOP58	1.07045583845672	1.54689739561673e-65	0.570485799352482	4.46304282034834e-25	TRUE	TRUE	TRUE	Concordant up
NOSIP	0.518355809966147	4.0138172255572e-09	-0.152954701197798	0.000322139611073827	TRUE	FALSE	FALSE	TCGA only
NPM1	0.53098556368586	2.38456050209174e-13	0.143067774583656	0.0544199849451639	TRUE	FALSE	FALSE	TCGA only
NRGN	0.464635984637334	0.00136127433969491	NA	NA	FALSE	FALSE	FALSE	Not DE
NSFL1C	0.220524109479065	0.000177652800227332	-0.233667101192014	3.94352731615222e-07	FALSE	FALSE	FALSE	Not DE
NSMCE4A	-0.33012316450053	1.29978560284986e-07	-0.221927827352303	0.000101334456078203	FALSE	FALSE	FALSE	Not DE
NSRP1	-0.295302442937151	7.43606487200744e-09	-0.162842169593413	0.000700145269856021	FALSE	FALSE	FALSE	Not DE
NSUN2	0.831647505347968	3.68906236317227e-35	0.397959248472967	1.64510921237376e-14	TRUE	FALSE	FALSE	TCGA only
NUCKS1	0.480697711457206	6.15733478607543e-15	0.196042175336669	0.00437742023786524	FALSE	FALSE	FALSE	Not DE
NUDC	0.620398152207001	7.62274512820223e-15	-0.0113681465606886	0.803703479067448	TRUE	FALSE	FALSE	TCGA only
NUDT21	0.148312286691947	0.0151363524116434	0.294975441265628	3.68707187936842e-07	FALSE	FALSE	FALSE	Not DE
NUFIP1	0.226880580874088	0.000383295468285975	NA	NA	FALSE	FALSE	FALSE	Not DE
NUFIP2	0.171706137721399	0.0133999591298339	0.0920680164401008	0.102859783817981	FALSE	FALSE	FALSE	Not DE
NUMA1	-0.605355623903328	5.35182050350519e-25	-0.447474818041622	1.97180790286824e-13	TRUE	FALSE	FALSE	TCGA only
NUP133	0.346647905183444	2.21204024554957e-10	0.192864806978581	4.69946587282554e-05	FALSE	FALSE	FALSE	Not DE
NUP153	0.526407263729966	1.55932995219935e-10	0.534052010925789	1.32212687908304e-25	TRUE	TRUE	TRUE	Concordant up
NUP214	0.00587622619836833	0.892394324124512	0.0659918339318828	0.0869072694513803	FALSE	FALSE	FALSE	Not DE
NUP50	0.625696805322826	2.49019852975509e-31	0.512243499916264	1.16337094508296e-31	TRUE	TRUE	TRUE	Concordant up
NUP98	0.0091463393773442	0.8758469867723	0.182756126355534	1.32137741920088e-07	FALSE	FALSE	FALSE	Not DE
NVL	0.961510735989753	1.56472701513255e-72	0.140728910292234	0.0132883022079595	TRUE	FALSE	FALSE	TCGA only
OAT	0.27321972236102	0.00115649061409333	0.0537183982877627	0.573340333884444	FALSE	FALSE	FALSE	Not DE
OCIAD1	-0.187099280988006	0.000463578098489759	-0.148300602656008	0.0798994022352689	FALSE	FALSE	FALSE	Not DE
OCLN	0.505871986178129	0.000225922832028414	-0.0197142262185283	0.784539683224462	TRUE	FALSE	FALSE	TCGA only
OGFR	0.838061129929528	1.36014107292209e-20	0.0597171378658268	0.192510119220507	TRUE	FALSE	FALSE	TCGA only
OGT	-0.198816873709385	0.0101711071979748	-0.136786605095936	0.00883897399374417	FALSE	FALSE	FALSE	Not DE
ORC2	0.141794798485855	0.0122676556412337	0.131604737352049	0.000496564489007365	FALSE	FALSE	FALSE	Not DE
ORC3	0.468754910975871	8.06998243095626e-15	0.378769873545633	2.37136069733106e-14	FALSE	FALSE	FALSE	Not DE
ORC4	-0.0773180378643444	0.167371319293232	NA	NA	FALSE	FALSE	FALSE	Not DE
OSBPL8	-0.401439758664852	5.0231229648451e-06	0.0199675234899288	0.732764510493549	FALSE	FALSE	FALSE	Not DE
OTUD3	-0.349301168334392	9.35852013647386e-05	NA	NA	FALSE	FALSE	FALSE	Not DE
OTUD5	0.279554024318176	2.96331367320513e-05	0.0346899556526081	0.281798272340781	FALSE	FALSE	FALSE	Not DE
OTUD7B	0.059198700545167	0.418273225135934	NA	NA	FALSE	FALSE	FALSE	Not DE
OXCT1	-0.15205921959857	0.160192861735937	0.273737644500704	1.14145030135097e-09	FALSE	FALSE	FALSE	Not DE
PA2G4	0.638717028680693	7.99392853559357e-19	0.23895711182219	1.74582920558468e-06	TRUE	FALSE	FALSE	TCGA only
PACS1	0.284743251538544	1.48867127765814e-06	-0.0282251893452184	0.526602524224982	FALSE	FALSE	FALSE	Not DE
PAICS	1.32483081188126	5.67619428214973e-64	0.397020710234409	4.86034512547462e-11	TRUE	FALSE	FALSE	TCGA only
PAK1IP1	1.08067532068629	7.23412050719931e-55	0.622422526042621	1.53332381985737e-28	TRUE	TRUE	TRUE	Concordant up
PAN2	-0.940854021871908	7.0371714560662e-30	-0.349419654971667	2.23079878843022e-15	TRUE	FALSE	FALSE	TCGA only
PAPOLA	0.153130634286307	0.00242732578455068	0.0630896922244525	0.112788547330924	FALSE	FALSE	FALSE	Not DE
PAPOLG	0.151480722505567	0.0102071330670665	0.0217724450916633	0.293431544597727	FALSE	FALSE	FALSE	Not DE
PAPSS1	1.06795162483042	1.63942269460917e-40	0.572636590803313	8.98536379805412e-12	TRUE	TRUE	TRUE	Concordant up
PARD3	0.048583102734821	0.558625785505311	NA	NA	FALSE	FALSE	FALSE	Not DE
PARG	0.271131682532784	1.04625709876104e-05	0.101755620002595	0.000145765477337495	FALSE	FALSE	FALSE	Not DE
PARN	0.594744993397276	6.9955329979865e-42	0.0932022961065303	0.0250368663061984	TRUE	FALSE	FALSE	TCGA only
PARP1	1.41596361413084	8.30785387179603e-134	0.610841486797139	3.03419343341986e-24	TRUE	TRUE	TRUE	Concordant up
PARVB	0.242734356833895	0.0168128103304804	0.603529156812921	3.67017328844007e-17	FALSE	TRUE	FALSE	METABRIC only
PATZ1	-0.101658748158698	0.192390945808934	-0.202697409411734	8.33972695617349e-08	FALSE	FALSE	FALSE	Not DE
PAWR	-0.162770720168656	0.0622519494469062	0.0919388733576128	0.077154858532197	FALSE	FALSE	FALSE	Not DE
PAXIP1	0.423388504216286	3.86977130845942e-10	0.154442124071088	0.000640821189562588	FALSE	FALSE	FALSE	Not DE
PBK	4.1961869486213	1.80970759979035e-259	1.02785896602719	8.0858626932346e-45	TRUE	TRUE	TRUE	Concordant up
