tf	gene	mi	pvalue	category
CENPA	WDR43	0.3861890340420221	0.019601786741922922	Concordant up
HMGA1	EIF4G1	0.3648868438837369	0.001526822204491296	TCGA only up
HMGA1	EIF4A3	0.3677728099864724	4.734947474105411E-7	TCGA only up
HMGA1	EIF2S2	0.3674323440932883	1.1052263205435509E-4	TCGA only up
E2F7	CHAF1B	0.4152252768987319	4.734947474105411E-7	Concordant up
FOXM1	STIP1	0.4084762007492996	2.132859222570005E-9	TCGA only up
ZNF232	CPSF3	0.3742657166504581	1.1052263205435509E-4	Concordant up
FOXM1	RAD51AP1	0.78609640700069	0.0	Concordant up
CENPA	HNRNPA2B1	0.3885374404952993	0.0	TCGA only up
FOXM1	AURKA	0.4231828498878786	0.0	Concordant up
CHCHD3	ABT1	0.3570255531429973	0.019601786741922922	TCGA only up
CHCHD3	AHCY	0.3915725238445203	0.019601786741922922	TCGA only up
E2F7	GTSE1	0.4804577952233576	0.0	Concordant up
CHCHD3	BMS1	0.4207567617705726	0.001526822204491296	TCGA only up
CHCHD3	CALU	0.3995376763220503	0.0	Concordant up
CHCHD3	CCT4	0.4112229074926088	0.0	TCGA only up
CHCHD3	CCT2	0.425561751294077	2.132859222570005E-9	TCGA only up
CHCHD3	CCT8	0.37979048723301245	0.0	TCGA only up
CHCHD3	CKS2	0.34895220764838564	0.0	Concordant up
CHCHD3	DAXX	0.41348125856599044	0.019601786741922922	TCGA only up
CHCHD3	DKC1	0.44035454004474406	0.0	Concordant up
FOXM1	TCF19	0.4786457465168616	0.001526822204491296	TCGA only up
CENPA	CHRAC1	0.2946377635744754	0.019601786741922922	TCGA only up
CHCHD3	GNL3	0.40929381901399514	1.1052263205435509E-4	TCGA only up
CHCHD3	GPN1	0.4425131201041356	0.001526822204491296	Concordant up
HMGA1	RCOR2	0.3112224686725343	0.001526822204491296	Concordant up
