gene	logFC	AveExpr	t	P.Value	adj.P.Val	is_kbhb
AHNAK	-1.03895081013081	11.0261933371966	-16.6380996718778	1.73720700946005e-46	1.09498900764703e-44	TRUE
MSH6	0.751492639417927	9.36685546713955	16.3950440444777	1.71486681131133e-45	9.88881632060356e-44	TRUE
HMGA1	1.29310573944107	8.80052026951985	16.2572215934012	6.26909811777332e-45	3.5248224910072e-43	TRUE
FANCD2	0.852527186880225	7.32038094188495	16.1137925522575	2.41183623228857e-44	1.25583263990817e-42	TRUE
MTHFD1L	1.02813660347129	7.71260602461191	15.9637701869837	9.85223759515985e-44	4.97849778226305e-42	TRUE
HDGF	0.810893714433435	9.79995913093298	15.9357425765135	1.28120070986103e-43	6.41994129761325e-42	TRUE
PSME4	0.91752876067934	9.74870141092449	15.8969383798854	1.84293339317139e-43	9.15807896955209e-42	TRUE
RBM28	0.580315805965097	7.06580417351888	15.8923004539116	1.92476130842699e-43	9.5251824089759e-42	TRUE
KPNA2	1.1162779419218	7.51497837335008	15.8651655274	2.4816712995718e-43	1.20815022291349e-41	TRUE
INCENP	0.608488082634212	6.38047699304625	15.8193149014092	3.81208650508742e-43	1.82614191939708e-41	TRUE
UHRF1	0.652429824420794	11.2157982245954	15.6776300197946	1.43427111005595e-42	6.58116123142916e-41	TRUE
MKI67	0.547725626958424	6.01666749392902	15.5523404228394	4.6209723732034e-42	2.08047989253699e-40	TRUE
PFKP	1.37216668974131	9.02493999960885	15.458014072079	1.11368835658768e-41	4.79767329442232e-40	TRUE
CPSF3	0.632689854409959	8.79429842454773	15.3253043283576	3.8325352941126e-41	1.55062306359096e-39	TRUE
RCOR2	1.18993826400348	6.70639933423638	15.290145771701	5.31526100390183e-41	2.10780019148107e-39	TRUE
SOD2	1.5004904045522	8.94851313394437	15.2652185511356	6.70176095317448e-41	2.59742036165753e-39	TRUE
DEK	1.01913659946512	8.46861579995245	15.1864562472555	1.39326822825756e-40	5.29707311162304e-39	TRUE
BEND3	0.563371856521253	6.25567100130912	15.1554406724711	1.8582499218175e-40	6.99823932820325e-39	TRUE
MCM3	0.785663888012394	8.30811955984375	15.0403627711876	5.40350064018122e-40	1.92596201389316e-38	TRUE
USP1	0.843020428154711	7.67746636231142	15.0377446888083	5.536213086342e-40	1.96158840006011e-38	TRUE
CHAF1B	0.927751448207414	7.06083990167522	15.0055041791904	7.4635510032534e-40	2.605932560203e-38	TRUE
WDR43	0.611438921143979	6.94548204521886	14.9494694645347	1.25394109162315e-39	4.30292221010857e-38	TRUE
RANBP1	0.873609796637866	9.77850175126473	14.888290723837	2.20840236844378e-39	7.38766110739742e-38	TRUE
YEATS2	0.750087682066224	8.23658292243185	14.8634844088026	2.77765658685336e-39	9.21474107594343e-38	TRUE
LIMA1	-0.871007961334154	7.85556286850784	-14.8565395021975	2.96180437122079e-39	9.79849976512158e-38	TRUE
ZBTB4	-0.626555422703759	9.28968610238813	-14.8205365795204	4.13075017639893e-39	1.36280617389955e-37	TRUE
DDX39A	0.853669615059383	10.1390698684192	14.7527443269933	7.72402971982635e-39	2.46674613132374e-37	TRUE
NCBP2	0.668615053232024	7.49825383170743	14.7458036883595	8.23485743003052e-39	2.61593242923198e-37	TRUE
TK1	1.19318153285823	8.38173785185734	14.6449409155748	2.08677011512734e-38	6.42446244184191e-37	TRUE
ECT2	1.0033629505087	7.82036212195238	14.6259715349931	2.48511446575192e-38	7.53461540299874e-37	TRUE
RPS23	-1.57439909155544	9.4371547618497	-14.6172730611584	2.6923383315317e-38	8.10136780362404e-37	TRUE
WDR12	0.728276169914012	7.90029320991683	14.5704799577514	4.14149763858967e-38	1.23379541591418e-36	TRUE
PPM1G	0.563877250042957	10.7899207263794	14.5413360651322	5.41461849671131e-38	1.59717909154223e-36	TRUE
EML4	0.625807807752844	8.14340205077716	14.2937091471393	5.25135246725594e-37	1.42285513909179e-35	TRUE
RBM5	-0.637054506053247	9.64639381151233	-14.2897678126641	5.44427727395009e-37	1.46848343767627e-35	TRUE
BRIX1	0.665502039132406	7.74835032275854	14.2330393574408	9.14830526492632e-37	2.42927059540482e-35	TRUE
ENO1	0.750184554630602	12.8735594105154	14.0180471764644	6.5064974714673e-36	1.64392012063908e-34	TRUE
HELLS	0.512827558741753	5.9957087132688	13.9370939587064	1.35899606708941e-35	3.36267291311215e-34	TRUE
SNRPA1	0.836800178520564	8.39762916602303	13.8112897144251	4.25837605655084e-35	1.00390377270183e-33	TRUE
GAPDH	0.939421351970466	10.7028532244252	13.7163240815751	1.00645847892888e-34	2.31795129685622e-33	TRUE
WDR4	0.722328415806161	8.45590275635488	13.652093181716	1.7989116955307e-34	4.0344131958194e-33	TRUE
GPN1	0.600654243787497	8.91657637541085	13.6083263295432	2.670917427778e-34	5.94962130087578e-33	TRUE
NCK2	0.656090842628865	8.6810502077074	13.5024071197291	6.93998921641339e-34	1.49753713253634e-32	TRUE
