Cluster	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
FOXM1	R-HSA-6804757	Regulation of TP53 Degradation	6/250	35/8827	0.171428571428571	6.0528	5.11336214122794	0.000395588788059461	0.00327932014026861	0.00248678047781599	CCNA2/CHEK2/CDK1/CDK2/DAXX/MAPKAP1	6
FOXM1	R-HSA-380270	Recruitment of mitotic centrosome proteins and complexes	9/250	80/8827	0.1125	3.97215	4.5590086365391	0.000407264900120094	0.00331416482941765	0.00251320397080386	CEP72/CKAP5/HAUS4/CDK1/NDE1/NEK2/PLK1/PLK4/ODF2	9
FOXM1	R-HSA-380287	Centrosome maturation	9/250	80/8827	0.1125	3.97215	4.5590086365391	0.000407264900120094	0.00331416482941765	0.00251320397080386	CEP72/CKAP5/HAUS4/CDK1/NDE1/NEK2/PLK1/PLK4/ODF2	9
FOXM1	R-HSA-5696399	Global Genome Nucleotide Excision Repair (GG-NER)	9/250	81/8827	0.111111111111111	3.92311111111111	4.51198199087331	0.000447058355907253	0.00359490284669215	0.00272609377444525	ERCC3/ACTL6A/COPS7A/POLE/RFC5/PARP1/POLD1/POLD3/POLE3	9
FOXM1	R-HSA-177243	Interactions of Rev with host cellular proteins	6/250	36/8827	0.166666666666667	5.88466666666667	5.01361872480046	0.00046359630229444	0.00359490284669215	0.00272609377444525	NUP210/NUP188/NUP107/RAN/NUP62/NUP37	6
FOXM1	R-HSA-5685938	HDR through Single Strand Annealing (SSA)	6/250	36/8827	0.166666666666667	5.88466666666667	5.01361872480046	0.00046359630229444	0.00359490284669215	0.00272609377444525	BLM/EXO1/RFC5/RBBP8/RAD51/RHNO1	6
FOXM1	R-HSA-6806003	Regulation of TP53 Expression and Degradation	6/250	36/8827	0.166666666666667	5.88466666666667	5.01361872480046	0.00046359630229444	0.00359490284669215	0.00272609377444525	CCNA2/CHEK2/CDK1/CDK2/DAXX/MAPKAP1	6
FOXM1	R-HSA-1169410	Antimicrobial mechanism of IFN-stimulated genes	13/250	156/8827	0.0833333333333333	2.94233333333333	4.17864743813357	0.000470060412459886	0.00359490284669215	0.00272609377444525	FANCE/FANCA/NUP210/NUP188/NUP107/CDK1/KPNA2/ILF3/NUP62/NUP37/TUBA1C/TUBA1B/STAT3	13
FOXM1	R-HSA-9701192	Defective homologous recombination repair (HRR) due to BRCA1 loss of function	5/250	24/8827	0.208333333333333	7.35583333333333	5.322884359037	0.00047854790982113	0.00359490284669215	0.00272609377444525	BLM/EXO1/RBBP8/RAD51/RAD51AP1	5
FOXM1	R-HSA-9701193	Defective homologous recombination repair (HRR) due to PALB2 loss of function	5/250	24/8827	0.208333333333333	7.35583333333333	5.322884359037	0.00047854790982113	0.00359490284669215	0.00272609377444525	BLM/EXO1/RBBP8/RAD51/RAD51AP1	5
FOXM1	R-HSA-9704331	Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function	5/250	24/8827	0.208333333333333	7.35583333333333	5.322884359037	0.00047854790982113	0.00359490284669215	0.00272609377444525	BLM/EXO1/RBBP8/RAD51/RAD51AP1	5
FOXM1	R-HSA-9704646	Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function	5/250	24/8827	0.208333333333333	7.35583333333333	5.322884359037	0.00047854790982113	0.00359490284669215	0.00272609377444525	BLM/EXO1/RBBP8/RAD51/RAD51AP1	5
FOXM1	R-HSA-162658	Golgi Cisternae Pericentriolar Stack Reorganization	4/250	14/8827	0.285714285714286	10.088	5.80971344463999	0.000502556880484585	0.00359490284669215	0.00272609377444525	CCNB2/CCNB1/CDK1/PLK1	4
FOXM1	R-HSA-5358606	Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)	4/250	14/8827	0.285714285714286	10.088	5.80971344463999	0.000502556880484585	0.00359490284669215	0.00272609377444525	EXO1/MSH2/POLD1/POLD3	4
FOXM1	R-HSA-6804116	TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest	4/250	14/8827	0.285714285714286	10.088	5.80971344463999	0.000502556880484585	0.00359490284669215	0.00272609377444525	CCNA2/CDK2/E2F8/E2F1	4
FOXM1	R-HSA-69091	Polymerase switching	4/250	14/8827	0.285714285714286	10.088	5.80971344463999	0.000502556880484585	0.00359490284669215	0.00272609377444525	RFC5/POLD1/POLD3/PRIM2	4
FOXM1	R-HSA-69109	Leading Strand Synthesis	4/250	14/8827	0.285714285714286	10.088	5.80971344463999	0.000502556880484585	0.00359490284669215	0.00272609377444525	RFC5/POLD1/POLD3/PRIM2	4
FOXM1	R-HSA-69166	Removal of the Flap Intermediate	4/250	14/8827	0.285714285714286	10.088	5.80971344463999	0.000502556880484585	0.00359490284669215	0.00272609377444525	FEN1/POLD1/POLD3/PRIM2	4
FOXM1	R-HSA-72163	mRNA Splicing - Major Pathway	15/250	201/8827	0.0746268656716418	2.63492537313433	4.00290696627921	0.000572692709139079	0.00406382746405091	0.00308168960959892	CHERP/WBP11/SF1/RBMX/POLR2D/MAGOHB/PRPF4/PRPF8/HNRNPR/HNRNPK/HNRNPC/HNRNPD/SF3B2/SF3B3/SF3A3	15
FOXM1	R-HSA-5693554	Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)	5/250	25/8827	0.2	7.0616	5.18144457944977	0.000584502291230284	0.00408231127812018	0.00309570629172111	BLM/EXO1/RBBP8/RAD51/RAD51AP1	5
